Djavan;Oceano;BR
Djavan;Se...;BR
Os Paralamas Do Sucesso;Uma Brasileira;BR
Djavan;Eu Te Devoro;BR
Caetano Veloso;Você Não Me Ensinou a Te Esquecer;BR
Caetano Veloso;Sozinho;BR
Luiz Gonzaga;O Xote das Meninas - Ela Só Quer Só Pensa em Namorar;BR
Luiz Gonzaga;A Vida do Viajante (feat. Gonzaguinha);BR
Zé Ramalho;Chão de Giz;BR
Chitãozinho & Xororó;Sinônimos;BR
Elba Ramalho;Ai Que Saudade D'Ocê;BR
Zé Ramalho;Entre a Serpente e a Estrela (Amarillo By Money);BR
Nelson Gonçalves;Naquela Mesa;BR
Alceu Valença;Anunciação;BR
Alceu Valença;La Belle De Jour;BR
Alceu Valença;La Belle de Jour / Girassol;BR
Tim Maia;Azul Da Cor Do Mar;BR
Tim Maia;Gostava Tanto De Você;BR
Tim Maia;Eu Amo Você;BR
Alcione;Você Me Vira A Cabeça (Me Tira Do Sério);BR
Cartola;Preciso Me Encontrar;BR
Gonzaguinha;O Que É O Que É?;BR
Rita Lee;Ovelha Negra;BR
Rita Lee;Mania De Você;BR
João Gilberto;Chega de Saudade;BR
Antonio Villeroy;Sinais de Fogo;BR
Seu Jorge;Carolina;BR
Arnaldo Antunes;Qualquer Coisa;BR
Dudu Nobre;Faz O Pagode Explodir;BR
Os Paralamas Do Sucesso;Me Liga;BR
Titãs;Epitáfio;BR
Cássia Eller;O Meu Mundo Ficaria Completo (Com Você);BR
Natiruts;Quero Ser Feliz Também;BR
Titãs;Pra Dizer Adeus;BR
Titãs;Enquanto Houver Sol;BR
Titãs;Os Cegos do Castelo;BR
Seu Jorge;Amiga Da Minha Mulher;BR
Seu Jorge;Burguesinha;BR
Seu Jorge;Quem Não Quer Sou Eu;BR
Geraldo Vandre;Pra não dizer que não falei das flores;BR
Ritchie;Menina Veneno;BR
Roupa Nova;Dona;BR
Roupa Nova;Whisky a Go-Go;BR
Nenhum De Nós;O Astronauta de Mármore (Starman);BR
Belo;Tua Boca;BR
Papas Da Língua;Eu Sei;BR
Roberto Carlos;Esse Cara Sou Eu;BR
Naldo Benny;Amor de Chocolate;BR
Fagner;Borbulhas de Amor (Tenho um Coração) [Borbujas de Amor];BR
Cazuza;Exagerado;BR
Rita Lee;Reza;BR
Blitz;A Dois Passos Do Paraíso;BR
Belchior;A Palo Seco;BR
Belchior;Apenas Um Rapaz Latino Americano;BR
Reginaldo Rossi;Em Plena Lua De Mel (Dina);BR
